store_id,clinic_name,store_name,Zipcode,adress,access
tcb_052,TCB,金山院,〒456-0002,愛知県名古屋市熱田区金山町1-4-6 アルティメイト金山 7F,JR東海道本線・JR中央本線 金山駅から徒歩1分
tcb_053,TCB,豊田院,〒471-0027,愛知県豊田市喜多町1-140 ギャザ 3F,"名古屋鉄道 豊田市駅から徒歩1分, 愛知環状鉄道 新豊田駅から徒歩4分"
tcb_054,TCB,豊橋院,〒440-0881,愛知県豊橋市広小路1-18 ウェルプラザユメックスビル B1F,"JR豊橋駅から徒歩5分, 豊橋鉄道市内線 駅前大通駅から徒歩4分"
tcb_055,TCB,岐阜院,〒500-8833,岐阜県岐阜市神田町8-9-2 白木ビル 4F,名鉄岐阜駅から徒歩2分
tcb_056,TCB,静岡院,〒420-0852,静岡県静岡市葵区紺屋町17-1 葵タワー 2F,JR静岡駅から徒歩5分
tcb_057,TCB,浜松院,〒430-0933,静岡県浜松市中央区鍛冶町140 浜松Cビル（イズム浜松） 3F,"新浜松駅から徒歩1分, JR浜松駅から徒歩3分"
tcb_058,TCB,三島院,〒411-0855,静岡県三島市本町3-29 三島本町タワー3F 301,"伊豆箱根鉄道駿豆線 三島広小路駅から徒歩4分, JR三島駅から徒歩13分"
tcb_059,TCB,長野院,〒380-0823,長野県長野市南千歳1-1-1 ながの東急百貨店 別館シェルシェ 5F,JR長野駅から徒歩2分
tcb_060,TCB,松本院,〒390-0811,長野県松本市中央2-3-17 知新堂ビル 2F,JR松本駅から徒歩9分
tcb_061,TCB,金沢院,〒920-0847,石川県金沢市堀川町4-1 セントラルビル 5F,JR金沢駅から徒歩5分
tcb_062,TCB,新潟院,〒950-0086,新潟県新潟市中央区花園1-2-2 コープシティ花園ガレッソ 2F,JR新潟駅から徒歩2分
tcb_063,TCB,四日市院,〒510-0086,三重県四日市市諏訪栄町10-7 ことぶきビル 2F,"近畿日本鉄道名古屋線 近鉄四日市駅から徒歩3分, 四日市あすなろう鉄道 あすなろう四日市駅から徒歩3分"
tcb_064,TCB,富山院,〒930-0003,富山県富山市桜町1-1-1 電鉄富山駅ビル エスタ 3F,"JR富山駅から徒歩1分, 富山地方鉄道 電鉄富山駅・エスタ前停留所から徒歩1分"
tcb_065,TCB,福井院,〒910-0006,福井県福井市中央1-3-3 KIビル 3F,"福井鉄道 福井駅から徒歩1分, JR福井駅から徒歩2分"
tcb_066,TCB,山梨甲府駅前院,〒400-0031,山梨県甲府市丸の内2-16-4 丸栄ビル 3F,JR甲府駅から徒歩5分
tcb_067,TCB,梅田大阪駅前院,〒530-0057,大阪府大阪市北区曽根崎2-8-15 K’sスクエアビル 3F,"OsakaMetro（大阪メトロ）谷町線東梅田駅から徒歩4分, 阪急大阪梅田駅から徒歩7分"
tcb_068,TCB,なんば院,〒542-0076,大阪府大阪市中央区難波4-2-1 難波御堂筋ビルディング 9F,"御堂筋線 なんば駅から徒歩1分, 千日前線・四つ橋線 なんば駅から徒歩5分"
tcb_069,TCB,天王寺院,〒545-0052,大阪府大阪市阿倍野区阿倍野筋1-5-36 アベノセンタービル 2F,"JR天王寺駅から徒歩3分, 近鉄 大阪阿部野橋駅から徒歩4分"
tcb_070,TCB,大阪阪急梅田駅前院,〒530-0012,大阪府大阪市北区芝田2-6-30 梅田清和ビル 2F,"OsakaMetro（大阪メトロ）御堂筋線 梅田駅から徒歩3分, 阪急電鉄 大阪梅田駅から徒歩4分"
tcb_071,TCB,梅田茶屋町院,〒530-0013,大阪府大阪市北区茶屋町2-28 セントラル茶屋町 3F・4F,"阪急 大阪梅田駅から徒歩3分, 地下鉄御堂筋線 梅田駅から徒歩5分"
tcb_072,TCB,心斎橋院,〒542-0081,大阪府大阪市中央区南船場4-4-10 辰野心斎橋ビル 4F,"大阪メトロ御堂筋線 心斎橋駅から徒歩1分, 大阪メトロ四つ橋線 四ツ橋駅から徒歩6分"
tcb_073,TCB,枚方院,〒573-0032,大阪府枚方市岡東町8-9 枚方SGビル 5F,京阪本線 枚方市駅から徒歩2分
tcb_074,TCB,堺院,〒590-0076,大阪府堺市堺区北瓦町2-4-12 岡本ビル 5F,南海電鉄 堺東駅北西口から徒歩1分
tcb_075,TCB,高槻院,〒569-0071,大阪府高槻市城北町2-11-1 山木ビル 3F・4F,阪急高槻市駅から徒歩2分
tcb_076,TCB,江坂院,〒564-0063,大阪府吹田市江坂町1-21-17 ESAKA松尾ビル 3F,江坂駅南口から徒歩3分
tcb_077,TCB,京都駅前院,〒600-8211,京都府京都市下京区真苧屋町195 福井ビル 3F,JR京都駅中央口から徒歩5分
tcb_078,TCB,京都四条院,〒600-8007,京都府京都市下京区四条通東洞院東入立売西町66 京都証券ビル 5F,阪急烏丸駅から徒歩2分
tcb_079,TCB,神戸院,〒651-0094,兵庫県神戸市中央区琴ノ緒町5-3-2 三宮駅前平和ビル 7F,"JR三ノ宮駅から徒歩1分, 阪急 神戸三宮駅から徒歩3分"
tcb_080,TCB,姫路院,〒670-0927,兵庫県姫路市駅前町247 御幸苑ビル 2F,"山陽電鉄本線 山陽姫路駅から徒歩2分, JR姫路駅から徒歩2分"
tcb_081,TCB,奈良院,〒630-8226,奈良県奈良市小西町21-1 小西町商業ビルな・ら・ら 2F,近鉄奈良駅から徒歩2分
tcb_082,TCB,和歌山院,郵便番号が見つかりません,和歌山県和歌山市美園町4-81-1 SOPHIA和歌山イーストプラザⅠ号館 3F,JR和歌山駅から徒歩5分
tcb_083,TCB,草津院,〒525-0032,滋賀県草津市大路1-1-1 エルティ932ビル 3F,JR草津駅から徒歩1分
tcb_084,TCB,岡山院,〒700-0023,岡山県岡山市北区駅前町1-1-21 成通・ハリービル 4F,"JR岡山駅から徒歩3分, 岡山電軌岡山駅前駅から徒歩1分"
tcb_085,TCB,倉敷院,〒710-8550,岡山県倉敷市阿知1-7-1 天満屋 倉敷店 5F,"JR倉敷駅から徒歩2分, 水島臨海鉄道水島本線 倉敷市駅から徒歩3分"
tcb_086,TCB,広島院,〒730-0035,広島県広島市中区本通9-30 ランドマークビル 3F,"広島電鉄立町駅から徒歩3分, アストラムライン本通駅から徒歩5分"
tcb_087,TCB,福山院,〒720-0065,広島県福山市東桜町1-1 アイネスフクヤマ 2F,JR福山駅から徒歩3分
tcb_088,TCB,松江院,〒690-0003,島根県松江市朝日町480-8 松江SKYビル 2F,JR松江駅から徒歩2分
tcb_089,TCB,周南徳山駅ビル院,〒745-0032,山口県周南市銀座1-31 TOKUYAMA DECK D2 2F,JR徳山駅から徒歩2分
tcb_090,TCB,高松院,〒760-0024,香川県高松市兵庫町11-6 カーニープレイス高松兵庫町ビル 3F,"片原町駅から徒歩5分, 高松築港駅から徒歩8分"
tcb_091,TCB,松山院,〒790-0012,愛媛県松山市湊町5-4-25 日切ビル 5F,伊予鉄道 松山市駅から徒歩1分
tcb_092,TCB,高知院,〒780-0822,高知県高知市はりまや町2-3-3 イチヤはりまやビル 1F・2F,"蓮池町通駅から徒歩1分, 高知橋駅から徒歩3分"
